,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,201,201,"{'x': 0.6827633723169234, 'y': 2.333470030472769}","{'x': -0.6828320293589164, 'y': -2.3335449570837468}",0.15000000596046448,0:1
0,2,201,0,"{'x': 0.6827633723169234, 'y': 2.333470030472769}","{'x': -0.6828320293589164, 'y': -2.3335449570837468}",0.15000000596046448,0:14
0,3,331,130,"{'x': 1.6033443186782734, 'y': 3.225234316213489}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:15
0,4,331,0,"{'x': 1.6033443186782734, 'y': 3.225234316213489}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:15
0,5,331,0,"{'x': 1.6033443186782734, 'y': 3.225234316213489}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:17
0,6,433,102,"{'x': 1.840513997818293, 'y': 3.0749141733517455}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:18
0,7,433,0,"{'x': 1.840513997818293, 'y': 3.0749141733517455}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:23
0,8,646,213,"{'x': 2.065436006695641, 'y': 3.2485198128670225}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:26
0,9,646,0,"{'x': 2.1069593440598378, 'y': 3.249274646088458}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:27
0,10,646,0,"{'x': 2.1563317786759266, 'y': 3.2889707434624205}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:32
0,11,646,0,"{'x': 2.5058947812622914, 'y': 3.831145917221881}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:41
0,12,1026,380,"{'x': 3.159702217505787, 'y': 3.4395101391912477}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,0:52
0,13,1195,169,"{'x': 2.8147959081807197, 'y': 4.599551297607272}","{'x': -0.6955536774878733, 'y': -2.609874128753841}",0.15000000596046448,1:21
0,14,1303,108,"{'x': 3.999524970973791, 'y': 2.1027187318644387}","{'x': -0.8191097691165079, 'y': -2.609874128753841}",0.15000000596046448,1:21
0,15,1303,0,"{'x': 3.999524970973791, 'y': 2.1027187318644387}","{'x': -0.8191097691165079, 'y': -2.609874128753841}",0.15000000596046448,1:38
0,16,1306,3,"{'x': 3.9998527965200554, 'y': 2.103479942782865}","{'x': -0.8191097691165079, 'y': -2.609874128753841}",0.15000000596046448,1:56
