,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,280,280,"{'x': 3.0909025539482426, 'y': 3.329090918172948}","{'x': -1.4660682548607178, 'y': -1.3159538160458728}",0.15000000596046448,0:0
0,2,280,0,"{'x': 3.0909025539482426, 'y': 3.329090918172948}","{'x': -1.4660682548607178, 'y': -1.3159538160458728}",0.15000000596046448,0:11
0,3,380,100,"{'x': 3.524111199326058, 'y': 2.5069249236306232}","{'x': -1.6833594107205396, 'y': -1.3159538160458728}",0.15000000596046448,0:11
0,4,380,0,"{'x': 3.524111199326058, 'y': 2.5069249236306232}","{'x': -1.6833594107205396, 'y': -1.3159538160458728}",0.15000000596046448,0:13
0,5,611,231,"{'x': 3.557127374237675, 'y': 3.276751448354839}","{'x': -1.6833594107205396, 'y': -2.302896839254367}",0.15000000596046448,0:14
0,6,611,0,"{'x': 3.557143586701054, 'y': 3.2767319576359974}","{'x': -1.6833594107205396, 'y': -2.302896839254367}",0.15000000596046448,0:23
0,7,759,148,"{'x': 3.1806549617476763, 'y': 2.849839660662852}","{'x': -2.0276510487142447, 'y': -2.528672078718734}",0.15000000596046448,0:23
0,8,759,0,"{'x': 3.1806549617476763, 'y': 2.849839660662852}","{'x': -2.0276510487142447, 'y': -2.528672078718734}",0.15000000596046448,0:28
0,9,980,221,"{'x': 3.4145655027554245, 'y': 3.152438960482878}","{'x': -2.4549411588764887, 'y': -3.076426403450492}",0.15000000596046448,0:28
0,10,980,0,"{'x': 3.4145655027554245, 'y': 3.152438960482878}","{'x': -2.4549411588764887, 'y': -3.076426403450492}",0.15000000596046448,0:45
0,11,1299,319,"{'x': 2.8339677522935633, 'y': 2.1148034579807797}","{'x': -2.811416482836294, 'y': -3.5985817204564507}",0.15000000596046448,0:57
0,12,1329,30,"{'x': 4.752534116588345, 'y': 1.8247090747259653}","{'x': -2.811416482836294, 'y': -3.609373064957376}",0.15000000596046448,0:58
0,13,1329,0,"{'x': 4.752534116588345, 'y': 1.8247090747259653}","{'x': -2.811416482836294, 'y': -3.609373064957376}",0.15000000596046448,1:27
