,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,274,274,"{'x': 3.2916646426950336, 'y': 1.5552358952798637}","{'x': -2.191126746538723, 'y': -4.178245100144365}",0.15000000596046448,0:0
0,2,274,0,"{'x': 3.2916646426950336, 'y': 1.5552358952798637}","{'x': -2.191126746538723, 'y': -4.178245100144365}",0.15000000596046448,0:0
0,3,274,0,"{'x': 3.2916646426950336, 'y': 1.5552358952798637}","{'x': -2.191126746538723, 'y': -4.178245100144365}",0.15000000596046448,0:34
0,4,580,306,"{'x': 2.5702496258324743, 'y': 2.116420634206392}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,0:35
0,5,580,0,"{'x': 2.5702496258324743, 'y': 2.116420634206392}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,0:35
0,6,580,0,"{'x': 2.5702496258324743, 'y': 2.116420634206392}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,0:43
0,7,657,77,"{'x': 2.308789691741369, 'y': 1.1019748371993}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,0:43
0,8,657,0,"{'x': 2.308789691741369, 'y': 1.1019748371993}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:9
0,9,669,12,"{'x': 2.6322342715840548, 'y': 2.22059750223386}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:9
0,10,669,0,"{'x': 2.6322342715840548, 'y': 2.22059750223386}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:10
0,11,669,0,"{'x': 2.6322342715840548, 'y': 2.22059750223386}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:22
0,12,781,112,"{'x': 2.7851264561975606, 'y': 3.3394004737427516}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:23
0,13,781,0,"{'x': 2.7851264561975606, 'y': 3.3394004737427516}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:25
0,14,781,0,"{'x': 2.9966560687387593, 'y': 3.516060745104222}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:33
0,15,809,28,"{'x': 3.5190595589054956, 'y': 3.186242527572718}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:33
0,16,809,0,"{'x': 3.5190595589054956, 'y': 3.186242527572718}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:34
0,17,809,0,"{'x': 3.5190817765368356, 'y': 3.1862546571179298}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:39
0,18,1031,222,"{'x': 3.5125207536252283, 'y': 3.6524042499679843}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:40
0,19,1031,0,"{'x': 3.5125207536252283, 'y': 3.6524042499679843}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:55
0,20,1311,280,"{'x': 5.614752321064421, 'y': 4.145617198990106}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:55
0,21,1311,0,"{'x': 5.614752321064421, 'y': 4.145617198990106}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,1:55
0,22,1311,0,"{'x': 5.614752321064421, 'y': 4.145617198990106}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,2:2
0,23,1344,33,"{'x': 6.602452630215951, 'y': 3.8635200269754977}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,2:2
0,24,1344,0,"{'x': 6.602452630215951, 'y': 3.8635200269754977}","{'x': -3.031566240644474, 'y': -4.2064639093132605}",0.15000000596046448,2:5
