,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,299,299,"{'x': 3.1701343537015836, 'y': 1.8865840708420731}","{'x': -3.1712243943782346, 'y': -1.8814383547186273}",0.15000000596046448,0:0
0,2,299,0,"{'x': 3.1701343537015836, 'y': 1.8865840708420731}","{'x': -3.1712243943782346, 'y': -1.8814383547186273}",0.15000000596046448,0:4
0,3,469,170,"{'x': 3.2505147555675236, 'y': 2.090119143562337}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:10
0,4,469,0,"{'x': 4.067639479008745, 'y': 2.0166805259788494}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:19
0,5,516,47,"{'x': 4.412831794171729, 'y': 2.5726604004292515}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:20
0,6,516,0,"{'x': 4.479527937941334, 'y': 2.676736092458638}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:20
0,7,516,0,"{'x': 4.479517942445298, 'y': 2.6767288148489543}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:24
0,8,516,0,"{'x': 4.348908934262526, 'y': 2.196238911172882}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:31
0,9,657,141,"{'x': 4.933498001715571, 'y': 2.430295306280234}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:31
0,10,657,0,"{'x': 4.933555476148469, 'y': 2.430293061894387}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:34
0,11,657,0,"{'x': 4.742301146217053, 'y': 2.2465329143181396}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:34
0,12,657,0,"{'x': 4.742288874423102, 'y': 2.2465461273395086}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:40
0,13,657,0,"{'x': 5.266195201619213, 'y': 2.5418383189710547}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:41
0,14,657,0,"{'x': 5.266189981912536, 'y': 2.5418443250978418}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:45
0,15,657,0,"{'x': 5.065576050501287, 'y': 2.9847271808522113}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:45
0,16,657,0,"{'x': 5.0655784340793115, 'y': 2.9847211893991084}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,0:52
0,17,732,75,"{'x': 4.7784852851492285, 'y': 1.9615775869659333}","{'x': -3.8911968109094874, 'y': -1.8843494661814275}",0.15000000596046448,1:2
0,18,847,115,"{'x': 5.356552165324493, 'y': 3.391515070452788}","{'x': -3.8911968109094874, 'y': -2.834793427613902}",0.15000000596046448,1:3
0,19,847,0,"{'x': 5.356552165324493, 'y': 3.391515070452788}","{'x': -3.8911968109094874, 'y': -2.834793427613902}",0.15000000596046448,1:12
0,20,868,21,"{'x': 5.747082688398165, 'y': 3.0963001340844634}","{'x': -3.8911968109094874, 'y': -3.08749535839108}",0.15000000596046448,1:16
0,21,920,52,"{'x': 6.12843878121664, 'y': 3.120973056017199}","{'x': -3.8911968109094874, 'y': -3.3383448098919315}",0.15000000596046448,1:16
0,22,920,0,"{'x': 6.128593822764277, 'y': 3.1209485693283825}","{'x': -3.8911968109094874, 'y': -3.3383448098919315}",0.15000000596046448,1:24
0,23,1086,166,"{'x': 5.786249383670482, 'y': 2.869313135553743}","{'x': -3.8911968109094874, 'y': -3.8227048673103243}",0.15000000596046448,1:33
0,24,1183,97,"{'x': 6.74155058627635, 'y': 2.783320410249746}","{'x': -3.8911968109094874, 'y': -3.8227048673103243}",0.15000000596046448,1:39
0,25,1324,141,"{'x': 6.9326470160856175, 'y': 2.373679930283906}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,1:43
0,26,1370,46,"{'x': 7.174508733491091, 'y': 1.9745158439293455}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,1:52
0,27,1408,38,"{'x': 7.475633234841624, 'y': 2.512803258545742}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,1:52
0,28,1408,0,"{'x': 7.475628339862526, 'y': 2.5127902983382153}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,1:59
0,29,1457,49,"{'x': 7.965260408523438, 'y': 2.188531492340051}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:0
0,30,1457,0,"{'x': 7.965408579865036, 'y': 2.1884266063549878}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:5
0,31,1496,39,"{'x': 8.471150686264915, 'y': 2.3872978600568104}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:6
0,32,1496,0,"{'x': 8.471065968764053, 'y': 2.3871350408061023}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:9
0,33,1496,0,"{'x': 8.440763539828543, 'y': 2.043004044435741}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:9
0,34,1496,0,"{'x': 8.440835451677948, 'y': 2.0428820717330405}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:14
0,35,1515,19,"{'x': 8.223960708172811, 'y': 2.7839742838276096}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:25
0,36,1556,41,"{'x': 8.818200394039573, 'y': 1.0926233624913686}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:37
0,37,1571,15,"{'x': 8.323137519396651, 'y': 2.338711868666956}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:37
0,38,1571,0,"{'x': 8.323137519396651, 'y': 2.338711868666956}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:41
0,39,1608,37,"{'x': 8.835515752848886, 'y': 2.421703043502709}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:43
0,40,1608,0,"{'x': 9.024222327767577, 'y': 2.39248109399092}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:44
0,41,1608,0,"{'x': 9.024257372891915, 'y': 2.3924889657009696}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:53
0,42,1872,264,"{'x': 9.804508047488808, 'y': 1.3598888903254593}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,2:53
0,43,1872,0,"{'x': 9.804519586733166, 'y': 1.3598861480170843}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:2
0,44,1925,53,"{'x': 9.459519521460658, 'y': 2.2750142792230985}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:8
0,45,2000,75,"{'x': 10.028486169581573, 'y': 2.6882295393436593}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:11
0,46,2020,20,"{'x': 10.408188490393806, 'y': 2.8600578949558284}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:16
0,47,2030,10,"{'x': 9.608191663662208, 'y': 2.8744497422541704}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:28
0,48,2036,6,"{'x': 8.356326102331757, 'y': 3.02921424957758}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:28
0,49,2036,0,"{'x': 8.356326102331757, 'y': 3.02921424957758}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:28
0,50,2036,0,"{'x': 8.35632387817414, 'y': 3.029195676223389}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:37
0,51,2086,50,"{'x': 7.0570609228214, 'y': 3.6314363261072855}","{'x': -3.8911968109094874, 'y': -3.829299934631022}",0.15000000596046448,3:38
