,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,313,313,"{'x': 0.9364463943295318, 'y': 2.0581349060112175}","{'x': -2.936534773382482, 'y': -2.558123229114312}",0.15000000596046448,0:3
0,2,313,0,"{'x': 0.9364463943295318, 'y': 2.0581349060112175}","{'x': -2.936534773382482, 'y': -2.558123229114312}",0.15000000596046448,0:13
0,3,388,75,"{'x': 1.6345349990900633, 'y': 1.1968301126841725}","{'x': -2.936534773382482, 'y': -2.560373956085308}",0.15000000596046448,0:26
0,4,388,0,"{'x': 1.6345543259686846, 'y': 1.1968313869081946}","{'x': -2.936534773382482, 'y': -2.560373956085308}",0.15000000596046448,0:27
0,5,388,0,"{'x': 1.6345543259686846, 'y': 1.1968313869081946}","{'x': -2.936534773382482, 'y': -2.560373956085308}",0.15000000596046448,0:40
0,6,588,200,"{'x': 2.3102707451526916, 'y': 1.2180276932437324}","{'x': -2.936534773382482, 'y': -2.5628295452068075}",0.15000000596046448,0:53
0,7,813,225,"{'x': 3.46832297528028, 'y': 2.0627178668286685}","{'x': -2.936534773382482, 'y': -2.5686608374174305}",0.15000000596046448,1:1
0,8,892,79,"{'x': 4.103326425480983, 'y': 1.8030286372263746}","{'x': -2.936534773382482, 'y': -2.5686608374174305}",0.15000000596046448,1:2
0,9,892,0,"{'x': 4.103355214948339, 'y': 1.803007093152049}","{'x': -2.936534773382482, 'y': -2.5686608374174305}",0.15000000596046448,1:21
0,10,963,71,"{'x': 4.3879841101198735, 'y': 3.7774741563995584}","{'x': -2.936534773382482, 'y': -2.580520987659112}",0.15000000596046448,1:38
