,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,341,341,"{'x': 3.0011513560172207, 'y': 2.136229146618194}","{'x': -3.3062483399268277, 'y': -3.4411401640361023}",0.15000000596046448,0:0
0,2,341,0,"{'x': 3.0011513560172207, 'y': 2.136229146618194}","{'x': -3.3062483399268277, 'y': -3.4411401640361023}",0.15000000596046448,0:0
0,3,341,0,"{'x': 3.0011513560172207, 'y': 2.136229146618194}","{'x': -3.3062483399268277, 'y': -3.4411401640361023}",0.15000000596046448,0:16
0,4,698,357,"{'x': 2.3238822201675706, 'y': 4.6602733345174}","{'x': -3.518340745773368, 'y': -3.4411401640361023}",0.15000000596046448,0:16
0,5,698,0,"{'x': 2.3238822201675706, 'y': 4.6602733345174}","{'x': -3.518340745773368, 'y': -3.4411401640361023}",0.15000000596046448,0:16
0,6,698,0,"{'x': 2.3238822201675706, 'y': 4.6602733345174}","{'x': -3.518340745773368, 'y': -3.4411401640361023}",0.15000000596046448,0:31
0,7,1065,367,"{'x': 5.050046216756975, 'y': 5.801198691840707}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,0:32
0,8,1065,0,"{'x': 5.050046216756975, 'y': 5.801198691840707}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,0:32
0,9,1065,0,"{'x': 5.050046216756975, 'y': 5.801198691840707}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,1:1
0,10,1307,242,"{'x': 5.919571033337991, 'y': 2.559030654379111}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,1:2
0,11,1307,0,"{'x': 5.919571033337991, 'y': 2.559030654379111}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,1:2
0,12,1307,0,"{'x': 5.919571033337991, 'y': 2.559030654379111}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,1:36
0,13,1307,0,"{'x': 5.920245996335428, 'y': 2.559090318628531}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,1:36
0,14,1307,0,"{'x': 5.920245996335428, 'y': 2.559090318628531}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,1:36
0,15,1307,0,"{'x': 5.920245996335428, 'y': 2.559090318628531}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,2:10
0,16,1336,29,"{'x': 1.2652560569834597, 'y': 1.710097306701554}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,2:11
0,17,1336,0,"{'x': 1.2652560569834597, 'y': 1.710097306701554}","{'x': -3.6922081727900977, 'y': -3.4411401640361023}",0.15000000596046448,2:21
