,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,418,418,"{'x': 2.9245627173073245, 'y': 2.7981915456373136}","{'x': -2.9619287648088877, 'y': 0.8585588949602192}",0.15000000596046448,0:0
0,2,418,0,"{'x': 2.9245627173073245, 'y': 2.7981915456373136}","{'x': -2.9619287648088877, 'y': 0.8585588949602192}",0.15000000596046448,0:0
0,3,418,0,"{'x': 2.9245627173073245, 'y': 2.7981915456373136}","{'x': -2.9619287648088877, 'y': 0.8585588949602192}",0.15000000596046448,0:16
0,4,802,384,"{'x': 3.8413441053103035, 'y': 2.8949478208268733}","{'x': -2.9622757543034326, 'y': -1.4441909845302294}",0.15000000596046448,0:16
0,5,802,0,"{'x': 3.8413441053103035, 'y': 2.8949478208268733}","{'x': -2.9622757543034326, 'y': -1.4441909845302294}",0.15000000596046448,0:59
0,6,1301,499,"{'x': 0.7212220606981017, 'y': 2.149718501372298}","{'x': -3.4120081176396817, 'y': -2.0130696056962836}",0.15000000596046448,1:0
0,7,1301,0,"{'x': 0.7212220606981017, 'y': 2.149718501372298}","{'x': -3.4120081176396817, 'y': -2.0130696056962836}",0.15000000596046448,1:10
0,8,1301,0,"{'x': 0.7212218222795226, 'y': 2.14971852744933}","{'x': -3.4120081176396817, 'y': -2.0130696056962836}",0.15000000596046448,1:20
0,9,1301,0,"{'x': 0.7212377963243224, 'y': 2.149738413048943}","{'x': -3.4120081176396817, 'y': -2.0130696056962836}",0.15000000596046448,1:20
0,10,1301,0,"{'x': 0.7212377963243224, 'y': 2.149738413048943}","{'x': -3.4120081176396817, 'y': -2.0130696056962836}",0.15000000596046448,1:20
0,11,1301,0,"{'x': 0.7212377963243224, 'y': 2.149738413048943}","{'x': -3.4120081176396817, 'y': -2.0130696056962836}",0.15000000596046448,1:52
0,12,1332,31,"{'x': 2.445367762602139, 'y': 6.729100181513125}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,1:53
0,13,1332,0,"{'x': 2.445388922251034, 'y': 6.729114009790713}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,1:53
0,14,1332,0,"{'x': 2.445388922251034, 'y': 6.729114009790713}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,2:3
0,15,1332,0,"{'x': 2.445388922251034, 'y': 6.729114009790713}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,2:43
0,16,1332,0,"{'x': 2.4463847966559413, 'y': 6.729504062586123}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,2:44
0,17,1332,0,"{'x': 2.4463847966559413, 'y': 6.729504062586123}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,2:44
0,18,1332,0,"{'x': 2.4463847966559413, 'y': 6.729504062586123}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,3:23
0,19,1332,0,"{'x': 2.446226427114773, 'y': 6.72960324471503}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,3:23
0,20,1332,0,"{'x': 2.446226427114773, 'y': 6.72960324471503}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,4:2
0,21,1332,0,"{'x': 2.445595392740536, 'y': 6.730460121088321}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,4:42
0,22,1332,0,"{'x': 2.445055434263516, 'y': 6.731043769769961}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,4:42
0,23,1332,0,"{'x': 2.445055434263516, 'y': 6.731043769769961}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,4:42
0,24,1332,0,"{'x': 2.445055434263516, 'y': 6.731043769769961}","{'x': -3.4363598198611616, 'y': -2.0130696056962836}",0.15000000596046448,4:45
