,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,380,380,"{'x': 2.756331880469764, 'y': 2.828267533789876}","{'x': -1.6064382389979015, 'y': -2.686646495472196}",0.15000000596046448,0:0
0,2,380,0,"{'x': 2.756331880469764, 'y': 2.828267533789876}","{'x': -1.6064382389979015, 'y': -2.686646495472196}",0.15000000596046448,0:14
0,3,391,11,"{'x': 0.5944932834418644, 'y': 2.7958575229816827}","{'x': -1.6064382389979015, 'y': -2.686646495472196}",0.15000000596046448,0:15
0,4,391,0,"{'x': 0.5944932834418644, 'y': 2.7958575229816827}","{'x': -1.6064382389979015, 'y': -2.686646495472196}",0.15000000596046448,0:15
0,5,391,0,"{'x': 0.5944932834418644, 'y': 2.7958575229816827}","{'x': -1.6064382389979015, 'y': -2.686646495472196}",0.15000000596046448,0:33
0,6,805,414,"{'x': 1.5712220428305694, 'y': 1.168347255765899}","{'x': -1.6064382389979015, 'y': -3.549736281556574}",0.15000000596046448,0:33
0,7,805,0,"{'x': 1.5712220428305694, 'y': 1.168347255765899}","{'x': -1.6064382389979015, 'y': -3.549736281556574}",0.15000000596046448,1:9
0,8,995,190,"{'x': 3.868977009603154, 'y': 1.2651386250628094}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,1:10
0,9,995,0,"{'x': 3.868977009603154, 'y': 1.2651386250628094}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,1:10
0,10,995,0,"{'x': 3.868977009603154, 'y': 1.2651386250628094}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,1:45
0,11,1288,293,"{'x': 4.249371772501024, 'y': 3.3278910890927866}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,1:45
0,12,1288,0,"{'x': 4.249371772501024, 'y': 3.3278910890927866}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,2:25
0,13,1288,0,"{'x': 4.250113015863451, 'y': 3.3280596510282114}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,2:25
0,14,1288,0,"{'x': 4.250113015863451, 'y': 3.3280596510282114}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,3:4
0,15,1288,0,"{'x': 4.250263696405443, 'y': 3.3280644193997935}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,3:25
0,16,1288,0,"{'x': 4.250317102167162, 'y': 3.328277923237379}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,3:25
0,17,1288,0,"{'x': 4.250317102167162, 'y': 3.328277923237379}","{'x': -1.6064382389979015, 'y': -4.249127464449774}",0.15000000596046448,3:37
0,18,1334,46,"{'x': 2.5016615457154168, 'y': 3.3888720254624825}","{'x': -1.6064382389979015, 'y': -4.093011976742572}",0.15000000596046448,3:38
0,19,1334,0,"{'x': 2.5016615457154168, 'y': 3.3888720254624825}","{'x': -1.6064382389979015, 'y': -4.093011976742572}",0.15000000596046448,3:54
