,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,300,300,"{'x': 3.172245550036489, 'y': 1.8864700306739457}","{'x': -3.1740926903017272, 'y': -1.8805236746459428}",0.15000000596046448,0:0
0,2,300,0,"{'x': 3.172245550036489, 'y': 1.8864700306739457}","{'x': -3.1740926903017272, 'y': -1.8805236746459428}",0.15000000596046448,0:13
0,3,652,352,"{'x': 5.554954409482486, 'y': 3.068462945576617}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,0:28
0,4,861,209,"{'x': 7.0802854143225, 'y': 4.707627460102834}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,0:28
0,5,861,0,"{'x': 7.080554130616091, 'y': 4.707838494153825}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,0:46
0,6,1411,550,"{'x': 5.555581604969526, 'y': 6.632135153481112}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,0:46
0,7,1411,0,"{'x': 5.555581604969526, 'y': 6.632135153481112}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,0:46
0,8,1411,0,"{'x': 5.555581604969526, 'y': 6.632135153481112}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,1:3
0,9,1638,227,"{'x': 2.6494305642004754, 'y': 6.3062294936509105}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,1:4
0,10,1638,0,"{'x': 2.6494432697683954, 'y': 6.306231970457182}","{'x': -3.1740926903017272, 'y': -3.8421252710958766}",0.15000000596046448,1:19
0,11,1838,200,"{'x': 2.700732695021391, 'y': 7.8289680208228924}","{'x': -4.575395079457459, 'y': -3.8421252710958766}",0.15000000596046448,1:19
0,12,1838,0,"{'x': 2.700732695021391, 'y': 7.8289680208228924}","{'x': -4.575395079457459, 'y': -3.8421252710958766}",0.15000000596046448,1:19
0,13,1838,0,"{'x': 2.700732695021391, 'y': 7.8289680208228924}","{'x': -4.575395079457459, 'y': -3.8421252710958766}",0.15000000596046448,1:33
0,14,2057,219,"{'x': 3.2576593498646282, 'y': 7.820320188766198}","{'x': -7.554537479476174, 'y': -3.8421252710958766}",0.15000000596046448,1:33
0,15,2057,0,"{'x': 3.2576593498646282, 'y': 7.820320188766198}","{'x': -7.554537479476174, 'y': -3.8421252710958766}",0.15000000596046448,1:45
0,16,2372,315,"{'x': 1.6151811991317473, 'y': 7.722798050921456}","{'x': -8.142231609337589, 'y': -3.8421252710958766}",0.15000000596046448,1:46
0,17,2372,0,"{'x': 1.6151811991317473, 'y': 7.722798050921456}","{'x': -8.142231609337589, 'y': -3.8421252710958766}",0.15000000596046448,2:2
0,18,2762,390,"{'x': 1.2581977203875008, 'y': 4.783249696066776}","{'x': -8.152695691396433, 'y': -3.8421252710958766}",0.15000000596046448,2:2
0,19,2762,0,"{'x': 1.2581977203875008, 'y': 4.783249696066776}","{'x': -8.152695691396433, 'y': -3.8421252710958766}",0.15000000596046448,2:13
0,20,2765,3,"{'x': 1.720565960429835, 'y': 6.458022294895368}","{'x': -8.162228862126836, 'y': -3.8421252710958766}",0.15000000596046448,2:13
0,21,2765,0,"{'x': 1.720565960429835, 'y': 6.458022294895368}","{'x': -8.162228862126836, 'y': -3.8421252710958766}",0.15000000596046448,3:6
0,22,2903,138,"{'x': 8.428297131536663, 'y': 4.367649011196776}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,3:25
0,23,3251,348,"{'x': 5.157093871508788, 'y': 3.4885202678461926}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,3:25
0,24,3251,0,"{'x': 5.157093871508788, 'y': 3.4885202678461926}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:14
0,25,3291,40,"{'x': 12.914382438275176, 'y': 7.139450917354877}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:14
0,26,3291,0,"{'x': 12.914338649504028, 'y': 7.139419814300519}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:14
0,27,3291,0,"{'x': 12.914338649504028, 'y': 7.139419814300519}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:18
0,28,3352,61,"{'x': 13.539372467809619, 'y': 7.241983475097216}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:32
0,29,3664,312,"{'x': 15.992179881242148, 'y': 7.423056331722657}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:32
0,30,3664,0,"{'x': 15.992297641442494, 'y': 7.423169118745345}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:44
0,31,3679,15,"{'x': 15.194201239592513, 'y': 5.818291406858872}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,4:44
0,32,3679,0,"{'x': 15.194201239592513, 'y': 5.818291406858872}","{'x': -8.155619233823332, 'y': -3.841829477380511}",0.15000000596046448,5:1
0,33,4151,472,"{'x': 15.221553911626641, 'y': 2.8413108473795727}","{'x': -8.155619233823332, 'y': -3.890700194941571}",0.15000000596046448,5:1
0,34,4151,0,"{'x': 15.221553911626641, 'y': 2.8413108473795727}","{'x': -8.155619233823332, 'y': -3.890700194941571}",0.15000000596046448,5:1
0,35,4151,0,"{'x': 15.221553911626641, 'y': 2.8413108473795727}","{'x': -8.155619233823332, 'y': -3.890700194941571}",0.15000000596046448,5:10
0,36,4241,90,"{'x': 14.363595817315213, 'y': 3.7678508920558103}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:10
0,37,4241,0,"{'x': 14.363524674170868, 'y': 3.767947475305871}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:22
0,38,4381,140,"{'x': 13.966377937605102, 'y': 5.8484025587268045}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:23
0,39,4381,0,"{'x': 13.966377937605102, 'y': 5.8484025587268045}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:23
0,40,4381,0,"{'x': 13.966377937605102, 'y': 5.8484025587268045}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:37
0,41,4494,113,"{'x': 12.233916525588953, 'y': 3.916913880278237}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:37
0,42,4494,0,"{'x': 12.233916525588953, 'y': 3.916913880278237}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:41
0,43,4494,0,"{'x': 12.621749795036536, 'y': 4.460747483509486}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:42
0,44,4494,0,"{'x': 12.621670179004111, 'y': 4.460702185362205}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,5:42
0,45,4494,0,"{'x': 12.621591447857321, 'y': 4.460657244212998}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:6
0,46,4831,337,"{'x': 11.692222014817036, 'y': 0.4851239648704557}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:7
0,47,4831,0,"{'x': 11.692222014817036, 'y': 0.4851239648704557}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:20
0,48,4834,3,"{'x': 12.222645210579055, 'y': 2.727989601241057}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:21
0,49,4834,0,"{'x': 12.222660916557206, 'y': 2.72803466455768}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:30
0,50,4839,5,"{'x': 12.663411905496606, 'y': 4.37111862448221}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:30
0,51,4839,0,"{'x': 12.663389785049526, 'y': 4.371086592324278}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:30
0,52,4839,0,"{'x': 12.663362887009791, 'y': 4.371047472009831}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:30
0,53,4839,0,"{'x': 12.663331177662336, 'y': 4.371001178655274}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:42
0,54,4844,5,"{'x': 13.00905397904178, 'y': 2.4503474060316695}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:43
0,55,4844,0,"{'x': 13.00903811224294, 'y': 2.4503700206868144}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:53
0,56,4850,6,"{'x': 12.767486745557507, 'y': 4.358712332229519}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:54
0,57,4850,0,"{'x': 12.767471142549462, 'y': 4.358809232875384}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:54
0,58,4850,0,"{'x': 12.767455483077722, 'y': 4.3589068937499444}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,6:54
0,59,4850,0,"{'x': 12.76743976348675, 'y': 4.359005464357807}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:8
0,60,4858,8,"{'x': 11.470697873429126, 'y': 2.4694051794041125}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:8
0,61,4858,0,"{'x': 11.470697873429126, 'y': 2.4694051794041125}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:23
0,62,4859,1,"{'x': 12.690681110739527, 'y': 4.418630849025464}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:23
0,63,4859,0,"{'x': 12.690569986233008, 'y': 4.418588980490838}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:24
0,64,4859,0,"{'x': 12.69045961771655, 'y': 4.418547551141932}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:24
0,65,4859,0,"{'x': 12.690404717471807, 'y': 4.418526987982115}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:34
0,66,4863,4,"{'x': 12.205475797780185, 'y': 5.842240771207299}","{'x': -8.155619233823332, 'y': -3.8925122785780215}",0.15000000596046448,7:43
