,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,302,302,"{'x': 0.9376025370683658, 'y': 2.0573469417540613}","{'x': -2.9376904481021637, 'y': -2.5573380190904293}",0.15000000596046448,0:21
0,2,580,278,"{'x': 1.9164391599548618, 'y': 4.4963922212845}","{'x': -2.9392016896813593, 'y': -2.5573380190904293}",0.15000000596046448,0:21
0,3,580,0,"{'x': 1.9164391599548618, 'y': 4.4963922212845}","{'x': -2.9392016896813593, 'y': -2.5573380190904293}",0.15000000596046448,0:48
0,4,824,244,"{'x': 2.291181762075768, 'y': 2.4197588560366774}","{'x': -2.9392016896813593, 'y': -2.5573380190904293}",0.15000000596046448,1:3
0,5,946,122,"{'x': 3.8990821099123676, 'y': 2.012323287630073}","{'x': -2.942616962116249, 'y': -2.5573380190904293}",0.15000000596046448,1:3
0,6,946,0,"{'x': 3.8990821099123676, 'y': 2.012323287630073}","{'x': -2.942616962116249, 'y': -2.5573380190904293}",0.15000000596046448,1:19
0,7,983,37,"{'x': 3.65528084921693, 'y': 0.5949464772043382}","{'x': -2.942616962116249, 'y': -2.5573380190904293}",0.15000000596046448,1:19
0,8,983,0,"{'x': 3.65528084921693, 'y': 0.5949464772043382}","{'x': -2.942616962116249, 'y': -2.5573380190904293}",0.15000000596046448,1:38
0,9,991,8,"{'x': 1.7538893911091349, 'y': 1.115478497976015}","{'x': -2.9435867551619923, 'y': -2.5573380190904293}",0.15000000596046448,1:39
0,10,991,0,"{'x': 1.7538893911091349, 'y': 1.115478497976015}","{'x': -2.9435867551619923, 'y': -2.5573380190904293}",0.15000000596046448,1:39
