,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,424,424,"{'x': 3.056965926080974, 'y': 1.8678140409099635}","{'x': -2.797432461172374, 'y': -2.5215029485332545}",0.15000000596046448,0:0
0,2,424,0,"{'x': 3.056965926080974, 'y': 1.8678140409099635}","{'x': -2.797432461172374, 'y': -2.5215029485332545}",0.15000000596046448,0:0
0,3,424,0,"{'x': 3.056965926080974, 'y': 1.8678140409099635}","{'x': -2.797432461172374, 'y': -2.5215029485332545}",0.15000000596046448,0:22
0,4,728,304,"{'x': 2.934238777128547, 'y': 4.249903026470439}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,0:22
0,5,780,52,"{'x': 2.934238777128547, 'y': 4.249903026470439}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,0:22
0,6,780,0,"{'x': 2.934238777128547, 'y': 4.249903026470439}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,0:45
0,7,1280,500,"{'x': 6.171367821066218, 'y': 3.6965504884286995}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,0:46
0,8,1280,0,"{'x': 6.171385225622492, 'y': 3.69656896586858}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,0:46
0,9,1280,0,"{'x': 6.171385225622492, 'y': 3.69656896586858}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,1:13
0,10,1330,50,"{'x': 5.17423001988837, 'y': 5.073141561614801}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,1:13
0,11,1330,0,"{'x': 5.17423001988837, 'y': 5.073141561614801}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,1:13
0,12,1330,0,"{'x': 5.17423001988837, 'y': 5.073141561614801}","{'x': -2.889714055965789, 'y': -2.5491864278419567}",0.15000000596046448,1:23
