,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,306,306,"{'x': 3.1396984749923913, 'y': 1.8815663541112913}","{'x': -3.140739170320116, 'y': -1.8765462780708424}",0.15000000596046448,0:36
0,2,306,0,"{'x': 3.1510215930565724, 'y': 1.8687938024303017}","{'x': -3.140739170320116, 'y': -1.8765462780708424}",0.15000000596046448,0:36
0,3,306,0,"{'x': 3.1510215930565724, 'y': 1.8687938024303017}","{'x': -3.140739170320116, 'y': -1.8765462780708424}",0.15000000596046448,0:36
0,4,306,0,"{'x': 3.1510215930565724, 'y': 1.8687938024303017}","{'x': -3.140739170320116, 'y': -1.8765462780708424}",0.15000000596046448,0:44
0,5,363,57,"{'x': 3.7490800836561426, 'y': 1.1236013036161392}","{'x': -3.140739170320116, 'y': -1.8804008297702062}",0.15000000596046448,0:44
0,6,363,0,"{'x': 3.749163824547225, 'y': 1.123548423821045}","{'x': -3.140739170320116, 'y': -1.8804008297702062}",0.15000000596046448,0:56
0,7,572,209,"{'x': 4.949460469596796, 'y': 4.276547636888202}","{'x': -3.140739170320116, 'y': -3.83079309475367}",0.15000000596046448,1:17
0,8,976,404,"{'x': 2.408329984800702, 'y': 4.123173296087663}","{'x': -3.8962032329493974, 'y': -3.83079309475367}",0.15000000596046448,1:17
0,9,976,0,"{'x': 2.408329984800702, 'y': 4.123173296087663}","{'x': -3.8962032329493974, 'y': -3.83079309475367}",0.15000000596046448,2:3
0,10,1229,253,"{'x': 5.493731245479623, 'y': 1.5734243134449937}","{'x': -3.9062627452377, 'y': -3.836775773228003}",0.15000000596046448,2:22
0,11,1229,0,"{'x': 5.4888911376583795, 'y': 1.5839232804509429}","{'x': -3.9062627452377, 'y': -3.836775773228003}",0.15000000596046448,2:23
0,12,1229,0,"{'x': 5.4888911376583795, 'y': 1.5839232804509429}","{'x': -3.9062627452377, 'y': -3.836775773228003}",0.15000000596046448,3:39
0,13,2758,1529,"{'x': 1.3734846696378558, 'y': 4.966271049961826}","{'x': -8.126633961044723, 'y': -3.839817282727982}",0.15000000596046448,4:15
0,14,2758,0,"{'x': 1.3596463403886254, 'y': 4.971850466721024}","{'x': -8.126633961044723, 'y': -3.839817282727982}",0.15000000596046448,4:15
