,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,309,309,"{'x': 3.168473805099392, 'y': 1.877266754927682}","{'x': -3.169567893774889, 'y': -1.8721115399949428}",0.15000000596046448,0:0
0,2,309,0,"{'x': 3.168473805099392, 'y': 1.877266754927682}","{'x': -3.169567893774889, 'y': -1.8721115399949428}",0.15000000596046448,0:25
0,3,384,75,"{'x': 4.216729462888605, 'y': 2.6849114920249555}","{'x': -3.169567893774889, 'y': -1.8809087200412198}",0.15000000596046448,0:35
0,4,384,0,"{'x': 4.212874223874498, 'y': 2.6803996425126106}","{'x': -3.169567893774889, 'y': -1.8809087200412198}",0.15000000596046448,1:17
0,5,384,0,"{'x': 4.213946688577423, 'y': 2.680845514860819}","{'x': -3.169567893774889, 'y': -1.8809087200412198}",0.15000000596046448,1:18
0,6,384,0,"{'x': 4.213946688577423, 'y': 2.680845514860819}","{'x': -3.169567893774889, 'y': -1.8809087200412198}",0.15000000596046448,1:36
0,7,384,0,"{'x': 4.213663279402367, 'y': 2.680260312558798}","{'x': -3.169567893774889, 'y': -1.8809087200412198}",0.15000000596046448,1:36
0,8,384,0,"{'x': 4.213663279402367, 'y': 2.680260312558798}","{'x': -3.169567893774889, 'y': -1.8809087200412198}",0.15000000596046448,1:43
0,9,638,254,"{'x': 5.101851270646386, 'y': 3.0881223686093824}","{'x': -3.169567893774889, 'y': -2.373641922684911}",0.15000000596046448,2:0
0,10,833,195,"{'x': 2.877387903164869, 'y': 2.4672614981981593}","{'x': -3.9265488963446824, 'y': -2.4361408250443954}",0.15000000596046448,2:0
0,11,833,0,"{'x': 2.877387903164869, 'y': 2.4672614981981593}","{'x': -3.9265488963446824, 'y': -2.4361408250443954}",0.15000000596046448,2:51
0,12,914,81,"{'x': 3.1817975356757895, 'y': 2.8168202596994956}","{'x': -3.928018393015966, 'y': -2.4361408250443954}",0.15000000596046448,2:51
0,13,914,0,"{'x': 3.1817975356757895, 'y': 2.8168202596994956}","{'x': -3.928018393015966, 'y': -2.4361408250443954}",0.15000000596046448,3:15
0,14,1018,104,"{'x': 4.676427286296735, 'y': 5.0219742919197365}","{'x': -3.928018393015966, 'y': -2.4361408250443954}",0.15000000596046448,3:15
0,15,1018,0,"{'x': 4.676427286296735, 'y': 5.0219742919197365}","{'x': -3.928018393015966, 'y': -2.4361408250443954}",0.15000000596046448,3:56
0,16,1018,0,"{'x': 4.690112785919357, 'y': 5.025525208669935}","{'x': -3.928018393015966, 'y': -2.4361408250443954}",0.15000000596046448,4:31
0,17,1018,0,"{'x': 4.673807528772358, 'y': 5.03012202372542}","{'x': -3.928018393015966, 'y': -2.4361408250443954}",0.15000000596046448,4:46
0,18,1305,287,"{'x': 2.378649740028903, 'y': 5.742295634652775}","{'x': -4.036725783385979, 'y': -2.4361408250443954}",0.15000000596046448,4:46
0,19,1305,0,"{'x': 2.378649740028903, 'y': 5.742295634652775}","{'x': -4.036725783385979, 'y': -2.4361408250443954}",0.15000000596046448,5:13
0,20,1471,166,"{'x': 7.057836656676924, 'y': 3.347699700044531}","{'x': -4.815872348770538, 'y': -2.4361408250443954}",0.15000000596046448,5:14
0,21,1471,0,"{'x': 7.057836656676924, 'y': 3.347699700044531}","{'x': -4.815872348770538, 'y': -2.4361408250443954}",0.15000000596046448,6:33
0,22,1787,316,"{'x': 6.361727841795649, 'y': 1.7012012640647551}","{'x': -4.825589459240207, 'y': -3.8320872065963796}",0.15000000596046448,7:1
0,23,1787,0,"{'x': 6.349985298818808, 'y': 1.7135591410461934}","{'x': -4.825589459240207, 'y': -3.8320872065963796}",0.15000000596046448,7:1
0,24,1787,0,"{'x': 6.349985298818808, 'y': 1.7135591410461934}","{'x': -4.825589459240207, 'y': -3.8320872065963796}",0.15000000596046448,7:42
0,25,1787,0,"{'x': 6.344799482444139, 'y': 1.6994873280781606}","{'x': -4.825589459240207, 'y': -3.8320872065963796}",0.15000000596046448,7:43
0,26,1787,0,"{'x': 6.344799482444139, 'y': 1.6994873280781606}","{'x': -4.825589459240207, 'y': -3.8320872065963796}",0.15000000596046448,8:12
0,27,2047,260,"{'x': 7.224637709334337, 'y': 7.275020327773458}","{'x': -4.825589459240207, 'y': -3.8344276960442008}",0.15000000596046448,8:13
0,28,2047,0,"{'x': 7.224651489369649, 'y': 7.275043998011553}","{'x': -4.825589459240207, 'y': -3.8344276960442008}",0.15000000596046448,8:42
0,29,2264,217,"{'x': 8.081984827313839, 'y': 2.283902817962869}","{'x': -4.825589459240207, 'y': -3.836148950767189}",0.15000000596046448,8:55
0,30,2350,86,"{'x': 7.710582700074222, 'y': 4.222391853227571}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,8:56
0,31,2350,0,"{'x': 7.710613659912736, 'y': 4.222455253440177}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,9:37
0,32,2350,0,"{'x': 7.714922836598877, 'y': 4.2253845090716045}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,9:37
0,33,2350,0,"{'x': 7.714922836598877, 'y': 4.2253845090716045}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,10:18
0,34,2350,0,"{'x': 7.710873997479089, 'y': 4.222932662145121}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,10:59
0,35,2350,0,"{'x': 7.711208783060394, 'y': 4.221459013195808}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,11:41
0,36,2350,0,"{'x': 7.713827864884511, 'y': 4.21966841310821}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,11:41
0,37,2350,0,"{'x': 7.713827864884511, 'y': 4.21966841310821}","{'x': -4.825589459240207, 'y': -3.8372427753177787}",0.15000000596046448,12:22
