,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,309,309,"{'x': 0.9389598473503034, 'y': 2.059756654120075}","{'x': -2.93902570103326, 'y': -2.5597483351587993}",0.15000000596046448,0:23
0,2,309,0,"{'x': 0.9394462356155682, 'y': 2.0593384136131405}","{'x': -2.93902570103326, 'y': -2.5597483351587993}",0.15000000596046448,0:37
0,3,617,308,"{'x': 2.4657731533885645, 'y': 1.1565201604323674}","{'x': -2.965349067439512, 'y': -2.5691102593284985}",0.15000000596046448,1:33
0,4,870,253,"{'x': 5.05081517265914, 'y': 3.039753393575641}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,2:25
0,5,870,0,"{'x': 5.054340312234761, 'y': 3.043673434100889}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,2:26
0,6,870,0,"{'x': 5.054340312234761, 'y': 3.043673434100889}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,3:17
0,7,870,0,"{'x': 5.054976246106969, 'y': 3.040978943777365}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,4:8
0,8,870,0,"{'x': 5.056549972171544, 'y': 3.0407903300923946}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,5:1
0,9,870,0,"{'x': 5.058506297924511, 'y': 3.037256269025299}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,5:1
0,10,870,0,"{'x': 5.058506297924511, 'y': 3.037256269025299}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,5:24
0,11,870,0,"{'x': 5.058258669075425, 'y': 3.0372864386513334}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,6:9
0,12,870,0,"{'x': 5.06920564438256, 'y': 3.053057372151628}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,6:9
0,13,870,0,"{'x': 5.06920564438256, 'y': 3.053057372151628}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,6:31
0,14,986,116,"{'x': 2.931296447969338, 'y': 4.0073305354915965}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,6:32
0,15,986,0,"{'x': 2.931296447969338, 'y': 4.0073305354915965}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,7:8
0,16,986,0,"{'x': 2.9324037135493586, 'y': 4.007815955485727}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,7:8
0,17,986,0,"{'x': 2.9324037135493586, 'y': 4.007815955485727}","{'x': -2.965349067439512, 'y': -2.5976060906949705}",0.15000000596046448,7:19
