,N of iteration,Number of discovered cells,Number of newly discovered cells,Pose of robot in origin frame,Pose of origin in map frame,Map resolution,Time passed
0,1,744,744,"{'x': 3.2130978690110186, 'y': 3.0843822634447617}","{'x': -3.2132017245093283, 'y': -3.0843957405300655}",0.15000000596046448,0:0
0,2,744,0,"{'x': 3.2130978690110186, 'y': 3.0843822634447617}","{'x': -3.2132017245093283, 'y': -3.0843957405300655}",0.15000000596046448,0:34
0,3,744,0,"{'x': 3.2129108850712345, 'y': 3.0841074459600106}","{'x': -3.2132017245093283, 'y': -3.0843957405300655}",0.15000000596046448,0:34
0,4,744,0,"{'x': 3.2129108850712345, 'y': 3.0841074459600106}","{'x': -3.2132017245093283, 'y': -3.0843957405300655}",0.15000000596046448,0:50
0,5,994,250,"{'x': 1.623314137276667, 'y': 4.410070441225749}","{'x': -3.3662553451961688, 'y': -3.0843957405300655}",0.15000000596046448,0:51
0,6,994,0,"{'x': 1.623314137276667, 'y': 4.410070441225749}","{'x': -3.3662553451961688, 'y': -3.0843957405300655}",0.15000000596046448,0:51
0,7,994,0,"{'x': 1.623314137276667, 'y': 4.410070441225749}","{'x': -3.3662553451961688, 'y': -3.0843957405300655}",0.15000000596046448,1:38
0,8,1135,141,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,2:4
0,9,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,2:4
0,10,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,2:4
0,11,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,2:20
0,12,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,2:36
0,13,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,2:37
0,14,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,2:37
0,15,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,3:2
0,16,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,3:28
0,17,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,3:28
0,18,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,3:28
0,19,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,3:44
0,20,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,4:1
0,21,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,4:1
0,22,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,4:27
0,23,1135,0,"{'x': 4.105282373126514, 'y': 2.768107059637027}","{'x': -3.3662553451961688, 'y': -3.1818123058719174}",0.15000000596046448,4:40
